"","Coef_ridge","s0","tcross"
"IRS4",NA,-0.0148805415255296,1
"GABRA1",NA,-0.0163046946152551,1
"FGF9",NA,0.011174323583887,1
"FGF6",NA,0.00589393116563926,1
"CUX2",NA,0.0060852842001353,1
"CCNB1",NA,0.0250182568569099,1
"C7orf57",NA,-0.0228521703018865,1
"NCAN",NA,0.00440069460055124,1
"LRP5",NA,0.0284212682277197,1
"FAM71E2",NA,-0.0199158623346706,1
"CDC20B",NA,-0.0220302267205734,1
"WISP1",NA,-0.0088453593494201,1
"SYK",NA,0.0205298479045048,1
"SLIT1",NA,-0.00159341301311566,1
"TUBA3C",NA,-0.028613910356528,1
"WNT2",NA,-0.0222141364059477,1
"LRP6",NA,-0.0114508295777907,1
"CDH18",NA,-0.00432863179651012,1
"C6orf223",NA,0.00157463728731228,1
"LRP1B",NA,-0.0343240989376846,1
"KLK14",NA,0.0100620967866999,1
"AKT3",NA,0.00221832943159806,1
"TFF2",NA,-0.0160426157488575,1
"PIGR",NA,-0.0338923393237476,1
"HHATL",NA,-0.00649835830948865,1
"FGF17",NA,0.00394663135717137,1
"PRSS3",NA,-0.0130202501100222,1
"PITRM1",NA,0.02898628885384,1
"FGF4",NA,-0.0113419509066685,1
"DKK2",NA,0.0345125144456799,1
"ZHX3",NA,-0.00244640408863872,1
"NTNG1",NA,-0.00274301264822756,1
"FGF20",NA,0.016393539298178,1
"OLFM3",NA,-0.0181732732725352,1
"LHFPL4",NA,-0.0100976459066928,1
"BEX1",NA,-0.0163870929880738,1
"CDH3",NA,0.00781324075637243,1
"SERF1A",NA,-0.00620517790493035,1
"PLA2G2D",NA,-0.0311213255962477,1
"ADRB1",NA,-0.0322839264818686,1
"PIK3R2",NA,-0.0139779641423127,1
"S100B",NA,-0.0136081116132211,1
"ELANE",NA,-0.00756948213169649,1
"UGT1A7",NA,-0.0182562676791457,1
"CLDN10",NA,-0.00346998845360922,1
"TMEM190",NA,-0.010134737844614,1
"LPO",NA,-0.0210985809575715,1
"FAP",NA,0.00523619939518942,1
"PROM1",NA,0.00931797110497271,1
"VTCN1",NA,0.0308043246097595,1
"FZD6",NA,0.00853559321004065,1
"MMP20",NA,-0.0229610363668273,1
"FGF23",NA,0.0218466229490764,1
"FGF19",NA,-0.0340605331254762,1
"CPB1",NA,0.0283187397062156,1
"PALM2",NA,-0.0203026101047145,1
"FZD1",NA,0.0228279335440193,1
"GJB6",NA,0.00565991364641963,1
"ZFP42",NA,0.0175118121232905,1
"SYCE1",NA,0.0104074997511951,1
"PAGE2B",NA,0.0169899814925811,1
"POLK",NA,-0.0123459064899146,1
"TYRP1",NA,-0.039642672354952,1
"C20orf85",NA,-0.0173346601628337,1
"CSNK1A1L",NA,0.0476805256356862,1
"CD24",NA,0.0270301554560277,1
"SFTPB",NA,-0.0305086178320215,1
"CYP2A6",NA,0.0192688733452865,1
